poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
14, 1314083921.000000, 0.996001, 0.089307, 0.002365, 8.296310, -0.089309, 0.996004, 0.000738, -0.919200, -0.002289, -0.000946, 0.999997, 0.158883, 0.000000, 0.000000, 0.000000, 1.000000
15, 1314084014.000000, 0.997577, 0.069497, 0.003081, 9.027636, -0.069492, 0.997581, -0.001781, -0.991527, -0.003197, 0.001562, 0.999994, 0.172408, 0.000000, 0.000000, 0.000000, 1.000000
16, 1314084110.000000, 0.997860, 0.065225, 0.004627, 9.613396, -0.065230, 0.997870, 0.000904, -1.060156, -0.004558, -0.001204, 0.999989, 0.183139, 0.000000, 0.000000, 0.000000, 1.000000
17, 1314084206.000000, 0.998678, 0.051182, 0.004645, 10.398947, -0.051180, 0.998690, -0.000699, -1.125461, -0.004674, 0.000460, 0.999989, 0.199002, 0.000000, 0.000000, 0.000000, 1.000000
18, 1314084313.000000, 0.998195, 0.059826, 0.005219, 11.202687, -0.059803, 0.998201, -0.004331, -1.173896, -0.005469, 0.004011, 0.999977, 0.214144, 0.000000, 0.000000, 0.000000, 1.000000
19, 1314084428.000000, 0.999401, 0.034418, 0.003415, 11.940953, -0.034415, 0.999407, -0.000750, -1.234175, -0.003439, 0.000631, 0.999994, 0.227473, 0.000000, 0.000000, 0.000000, 1.000000
20, 1314084534.000000, 0.996749, 0.080470, 0.004073, 12.719356, -0.080469, 0.996757, -0.000643, -1.261248, -0.004112, 0.000314, 0.999992, 0.241705, 0.000000, 0.000000, 0.000000, 1.000000
21, 1314084666.000000, 0.998633, 0.052282, 0.000383, 13.374892, -0.052281, 0.998632, -0.001042, -1.302155, -0.000436, 0.001020, 1.000000, 0.254452, 0.000000, 0.000000, 0.000000, 1.000000
22, 1314084758.000000, 0.996207, 0.086793, 0.006124, 14.107560, -0.086780, 0.996224, -0.002407, -1.333411, -0.006309, 0.001866, 0.999978, 0.269243, 0.000000, 0.000000, 0.000000, 1.000000
23, 1314084855.000000, 0.997307, 0.073267, 0.003265, 14.865320, -0.073266, 0.997313, -0.000422, -1.411303, -0.003287, 0.000181, 0.999995, 0.283405, 0.000000, 0.000000, 0.000000, 1.000000
24, 1314084989.000000, 0.997733, 0.067135, 0.004562, 15.595188, -0.067130, 0.997744, -0.001081, -1.443257, -0.004624, 0.000773, 0.999989, 0.297486, 0.000000, 0.000000, 0.000000, 1.000000
25, 1314085099.000000, 0.996891, 0.078611, 0.005273, 16.271691, -0.078606, 0.996905, -0.001166, -1.516567, -0.005349, 0.000749, 0.999985, 0.309772, 0.000000, 0.000000, 0.000000, 1.000000
26, 1314085202.000000, 0.997632, 0.068653, 0.004119, 17.006133, -0.068656, 0.997641, 0.000366, -1.597008, -0.004084, -0.000648, 0.999991, 0.323489, 0.000000, 0.000000, 0.000000, 1.000000
27, 1314085322.000000, 0.997920, 0.064307, 0.004497, 17.795841, -0.064305, 0.997930, -0.000765, -1.628650, -0.004537, 0.000474, 0.999989, 0.339278, 0.000000, 0.000000, 0.000000, 1.000000
28, 1314085444.000000, 0.998776, 0.049204, 0.004895, 18.542255, -0.049194, 0.998787, -0.002117, -1.682132, -0.004993, 0.001873, 0.999986, 0.354138, 0.000000, 0.000000, 0.000000, 1.000000
29, 1314085549.000000, 0.998005, 0.062780, 0.006710, 19.325669, -0.062764, 0.998026, -0.002544, -1.703833, -0.006856, 0.002118, 0.999974, 0.368445, 0.000000, 0.000000, 0.000000, 1.000000
30, 1314085645.000000, 0.997515, 0.070327, 0.004116, 20.052692, -0.070327, 0.997524, -0.000404, -1.736642, -0.004135, 0.000113, 0.999991, 0.382109, 0.000000, 0.000000, 0.000000, 1.000000
31, 1314085760.000000, 0.997616, 0.069015, -0.000582, 20.828460, -0.069013, 0.997614, 0.001596, -1.746148, 0.000691, -0.001552, 0.999999, 0.396540, 0.000000, 0.000000, 0.000000, 1.000000
32, 1314085957.000000, 0.998495, 0.054649, 0.004552, 21.544828, -0.054648, 0.998506, -0.000537, -1.778899, -0.004575, 0.000287, 0.999989, 0.411145, 0.000000, 0.000000, 0.000000, 1.000000
33, 1314086048.000000, 0.997291, 0.073149, 0.007759, 22.369839, -0.073155, 0.997320, 0.000519, -1.843057, -0.007700, -0.001085, 0.999970, 0.426969, 0.000000, 0.000000, 0.000000, 1.000000
34, 1314086139.000000, 0.999036, 0.043829, 0.002343, 23.158491, -0.043830, 0.999039, 0.000280, -1.914803, -0.002329, -0.000383, 0.999997, 0.441598, 0.000000, 0.000000, 0.000000, 1.000000
35, 1314086232.000000, 0.997828, 0.065623, 0.005624, 23.954056, -0.065617, 0.997845, -0.001102, -1.930252, -0.005684, 0.000730, 0.999983, 0.458376, 0.000000, 0.000000, 0.000000, 1.000000
