poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
16, 1314855298.000000, 0.999848, 0.005027, 0.016695, 9.021647, -0.003066, 0.993308, -0.115452, 5.454495, -0.017163, 0.115383, 0.993173, 1.069366, 0.000000, 0.000000, 0.000000, 1.000000
17, 1314855415.000000, 0.999985, 0.002942, 0.004556, 9.819821, -0.002309, 0.991086, -0.133200, 5.349245, -0.004907, 0.133188, 0.991079, 1.202715, 0.000000, 0.000000, 0.000000, 1.000000
18, 1314855515.000000, 0.987242, 0.127136, -0.095865, 10.534651, -0.144083, 0.969556, -0.197992, 5.238299, 0.067775, 0.209279, 0.975505, 1.331829, 0.000000, 0.000000, 0.000000, 1.000000
19, 1314855652.000000, 0.993525, 0.090035, -0.069294, 11.355241, -0.100723, 0.980182, -0.170582, 5.054874, 0.052563, 0.176457, 0.982903, 1.515421, 0.000000, 0.000000, 0.000000, 1.000000
20, 1314855779.000000, 0.926895, 0.372017, -0.049679, 12.016792, -0.375269, 0.916421, -0.139092, 4.803282, -0.006218, 0.147567, 0.989033, 1.605356, 0.000000, 0.000000, 0.000000, 1.000000
21, 1314855897.000000, 0.846329, 0.522410, -0.104004, 12.648909, -0.532619, 0.832452, -0.152779, 4.484173, 0.006765, 0.184695, 0.982772, 1.735450, 0.000000, 0.000000, 0.000000, 1.000000
22, 1314856028.000000, 0.923068, 0.374148, -0.089214, 13.282007, -0.383814, 0.911145, -0.150003, 3.933188, 0.025163, 0.172705, 0.984652, 1.839805, 0.000000, 0.000000, 0.000000, 1.000000
23, 1314856157.000000, 0.917624, 0.385301, -0.097513, 14.045128, -0.395070, 0.911056, -0.117880, 3.522941, 0.043421, 0.146694, 0.988229, 1.981419, 0.000000, 0.000000, 0.000000, 1.000000
24, 1314856269.000000, 0.954444, 0.291498, -0.063756, 14.803773, -0.296060, 0.951770, -0.080514, 3.259120, 0.037210, 0.095722, 0.994712, 2.158533, 0.000000, 0.000000, 0.000000, 1.000000
25, 1314856380.000000, 0.799178, 0.600045, -0.035520, 15.435631, -0.598355, 0.788508, -0.142219, 2.879278, -0.057330, 0.134912, 0.989198, 2.271153, 0.000000, 0.000000, 0.000000, 1.000000
26, 1314856500.000000, 0.803286, 0.595587, -0.002760, 16.078100, -0.589513, 0.794416, -0.146213, 2.361037, -0.084890, 0.119077, 0.989250, 2.375362, 0.000000, 0.000000, 0.000000, 1.000000
27, 1314856626.000000, 0.697443, 0.716449, 0.016588, 16.583887, -0.704350, 0.689565, -0.168495, 1.888525, -0.132157, 0.105832, 0.985563, 2.415842, 0.000000, 0.000000, 0.000000, 1.000000
28, 1314856744.000000, 0.680681, 0.730791, -0.051159, 17.100470, -0.730620, 0.672101, -0.120307, 1.182792, -0.053536, 0.119268, 0.991418, 2.485994, 0.000000, 0.000000, 0.000000, 1.000000
29, 1314856883.000000, 0.853017, 0.520831, -0.033108, 17.843573, -0.521210, 0.846982, -0.104702, 0.595535, -0.026491, 0.106569, 0.993952, 2.601306, 0.000000, 0.000000, 0.000000, 1.000000
30, 1314857114.000000, 0.793548, 0.603711, -0.076250, 18.417355, -0.608259, 0.783401, -0.127688, 0.223587, -0.017352, 0.147706, 0.988879, 2.690095, 0.000000, 0.000000, 0.000000, 1.000000
